20,1538,4286,3384,161,1273,1124,3136,4862
5886,7707,1991,7294,1102,8286,2824,1899,3242
21,3824,236,2173,4817,7654,1071,5452,6631
1151,2560,1871,2012,2143,7186,2828,5524,430
22,1371,6364,403,2827,1540,3839,8579,4456
2925,90,91,2473,57,726,3695,2828,1703
23,1888,396,144,1761,1310,590,3033,2475
2106,666,1699,4487,2923,7293,3223,5172,2405
24,4319,3585,2186,4921,358,2637,1273,2764
524,810,5258,8362,1874,5416,479,354,4829
25,2464,2533,2406,2071,1825,3642,2489,8085
920,1875,1390,889,3887,1465,3409,3042,240
26,565,1928,296,1397,688,4567,808,2813
8094,2806,709,2757,8150,1019,1928,460,992
27,1378,2836,4730,7605,485,3536,1872,8052
3014,193,2189,433,2715,7596,1168,2676,209
28,6841,1304,4346,8090,336,1692,4021,4401
651,1215,3895,3159,3084,4003,2442,551,689
29,1501,523,257,3240,332,1486,2398,262
463,2452,4700,625,473,4511,2235,2795,98
30,2807,1383,5223,5056,4007,376,1432,4577
690,3475,2095,99,247,5211,1190,6404,2443
31,1047,339,2321,8615,3175,780,7342,282
1136,3135,1814,2675,100,2825,6169,753,1771
32,1977,2576,4409,2957,4950,6220,1948,6182
1187,5531,101,4332,444,6650,3970,2833,2032
33,1791,2558,4208,836,966,3654,4049,2582
381,1924,2887,7825,907,2009,4687,1780,2829
34,3115,2449,2575,2318,3274,1146,8,4329
2353,816,1324,2334,8673,6686,103,1565,1922
35,1568,3546,1105,1999,8526,7603,853,7872
623,3217,4245,8155,712,2168,104,2203,2823
36,1515,7576,1221,3228,1438,1252,4440,4469
641,2187,7741,105,1716,1497,3808,3244,2548
37,1829,7330,1725,2601,6846,310,3094,3206
1421,555,2006,2016,2983,3553,5879,7739,3535
38,1574,845,186,1503,536,603,6886,3460
471,818,1236,1969,107,1009,2620,7279,139
39,1345,858,1409,916,4139,1343,7369,1256
1317,3738,1764,1513,7648,4701,4090,7102,2965
40,2798,2992,1555,2206,7099,3814,3190,1401
109,7460,606,1587,3259,1291,645,5421,374
41,2409,792,4227,2697,254,189,2989,3019
2701,110,4273,1523,3454,2926,3308,2425,743
42,256,607,2999,1468,147,1952,442,4204
422,827,1544,6702,5612,1055,2605,982,3582
43,2110,4308,2355,1835,7657,6896,4130,4652
854,2118,1918,3260,1460,7773,541,8504,8855
44,291,522,238,1240,3566,6824,237,292
1586,113,321,608,1354,4719,1547,142,3624
45,2271,2257,1851,910,5328,2841,1561,3835
3455,114,5752,1080,708,1760,2445,4716,6861
46,447,7090,1220,1504,5366,315,392,1547
115,1923,7368,71,3064,3281,1164,882,812
47,1406,1401,1031,815,2076,2922,3190,3826
116,0,2911,2212,4311,2424,449,3393,680
48,1684,826,990,2894,195,1392,2300,1010
3523,279,1788,7480,3633,1691,7949,1704,3369
49,7070,725,2420,6885,1004,8695,324,6991
1424,4282,614,7940,450,1228,4871,7630,7264
50,231,6411,4237,1564,3908,4084,118,1817
1970,1095,2229,3616,3931,1677,4343,1311,1389
51,3823,4659,2123,1518,3926,1751,6810,2472
1413,1704,7400,3633,293,7949,8695,3132,7480
52,4474,3412,939,5128,2480,120,2451,4481
669,4213,3399,2820,67,3073,1167,5952,8369
53,8890,8161,620,3753,3820,2431,3405,3264
2000,2777,2821,3569,2379,2603,1960,4249,2612
54,1417,1498,2438,150,308,4014,1643,2098
2405,2923,538,635,2106,2068,666,1427,6815
55,1996,1543,1567,911,5325,938,1494,1761
2323,2824,1071,89,1172,1212,202,1899,5886
56,264,649,4150,169,2036,804,5473,1140
237,931,3540,3566,6824,44,4633,1195,6301
